indicator_id,name,measure,geo_type_name,geo_join_id,data_value,geo_place_name,measure_info,time_period,message,start_date,unique_id
646,Outdoor Air Toxics - Benzene,Annual average concentration,CD,203,1.4,Morrisania and Crotona (CD3),Âµg/m3,2011,,2011-01-01T00:00:00.000,227582
646,Outdoor Air Toxics - Benzene,Annual average concentration,CD,303,1.4,Bedford Stuyvesant (CD3),Âµg/m3,2011,,2011-01-01T00:00:00.000,227594
646,Outdoor Air Toxics - Benzene,Annual average concentration,CD,503,1.1,Tottenville and Great Kills (CD3),Âµg/m3,2011,,2011-01-01T00:00:00.000,227626
375,Nitrogen dioxide (NO2),Mean,UHF34,306308,32.9,Chelsea-Village,ppb,Annual Average 2012,,2011-12-01T00:00:00.000,172709
375,Nitrogen dioxide (NO2),Mean,UHF34,203,22.9,Bedford Stuyvesant - Crown Heights,ppb,Annual Average 2012,,2011-12-01T00:00:00.000,172687
375,Nitrogen dioxide (NO2),Mean,UHF34,306308,18.5,Chelsea-Village,ppb,Summer 2022,,2022-06-01T00:00:00.000,825870
386,Ozone (O3),Mean,UHF34,306308,24.1,Chelsea-Village,ppb,Summer 2013,,2013-06-01T00:00:00.000,221961
386,Ozone (O3),Mean,UHF34,306308,26.6,Chelsea-Village,ppb,Summer 2012,,2012-06-01T00:00:00.000,221960
386,Ozone (O3),Mean,UHF34,403,34.5,Flushing - Clearview,ppb,Summer 2012,,2012-06-01T00:00:00.000,221918
386,Ozone (O3),Mean,UHF34,403,30.8,Flushing - Clearview,ppb,Summer 2021,,2021-06-01T00:00:00.000,743663
375,Nitrogen dioxide (NO2),Mean,UHF34,203,18.7,Bedford Stuyvesant - Crown Heights,ppb,Summer 2013,,2013-06-01T00:00:00.000,172211
375,Nitrogen dioxide (NO2),Mean,UHF34,203,19.4,Bedford Stuyvesant - Crown Heights,ppb,Annual Average 2018,,2018-01-01T00:00:00.000,602846
375,Nitrogen dioxide (NO2),Mean,UHF34,103,12.1,Fordham - Bronx Pk,ppb,Summer 2021,,2021-06-01T00:00:00.000,741026
375,Nitrogen dioxide (NO2),Mean,UHF34,104,17.9,Pelham - Throgs Neck,ppb,Annual Average 2016,,2015-12-31T00:00:00.000,412564
375,Nitrogen dioxide (NO2),Mean,UHF34,306308,26.1,Chelsea-Village,ppb,Winter 2021-22,,2021-12-01T00:00:00.000,825871
375,Nitrogen dioxide (NO2),Mean,UHF34,303,21.2,East Harlem,ppb,Summer 2012,,2012-06-01T00:00:00.000,172188
375,Nitrogen dioxide (NO2),Mean,UHF34,306308,23.7,Chelsea-Village,ppb,Summer 2018,,2018-06-01T00:00:00.000,602913
375,Nitrogen dioxide (NO2),Mean,UHF34,403,13.0,Flushing - Clearview,ppb,Summer 2018,,2018-06-01T00:00:00.000,602892
375,Nitrogen dioxide (NO2),Mean,UHF34,403,19.5,Flushing - Clearview,ppb,Annual Average 2014,,2013-12-01T00:00:00.000,211777
386,Ozone (O3),Mean,UHF34,306308,26.4,Chelsea-Village,ppb,Summer 2010,,2010-06-01T00:00:00.000,221958
375,Nitrogen dioxide (NO2),Mean,UHF34,303,23.3,East Harlem,ppb,Summer 2011,,2011-06-01T00:00:00.000,172154
375,Nitrogen dioxide (NO2),Mean,UHF34,303,26.0,East Harlem,ppb,Winter 2015-16,,2015-12-01T00:00:00.000,412604
375,Nitrogen dioxide (NO2),Mean,UHF34,306308,26.3,Chelsea-Village,ppb,Winter 2020-21,,2020-12-01T00:00:00.000,741103
375,Nitrogen dioxide (NO2),Mean,UHF34,403,20.1,Flushing - Clearview,ppb,Winter 2020-21,,2020-12-01T00:00:00.000,741082
375,Nitrogen dioxide (NO2),Mean,UHF34,403,15.7,Flushing - Clearview,ppb,Annual Average 2021,,2021-01-01T00:00:00.000,741084
375,Nitrogen dioxide (NO2),Mean,UHF34,403,11.0,Flushing - Clearview,ppb,Summer 2022,,2022-06-01T00:00:00.000,825891
375,Nitrogen dioxide (NO2),Mean,UHF34,203,17.7,Bedford Stuyvesant - Crown Heights,ppb,Annual Average 2019,,2019-01-01T00:00:00.000,643462
375,Nitrogen dioxide (NO2),Mean,UHF34,204,15.6,East New York,ppb,Annual Average 2022,,2022-01-01T00:00:00.000,825932
375,Nitrogen dioxide (NO2),Mean,UHF34,104,15.5,Pelham - Throgs Neck,ppb,Annual Average 2019,,2019-01-01T00:00:00.000,643453
375,Nitrogen dioxide (NO2),Mean,UHF34,103,29.7,Fordham - Bronx Pk,ppb,Winter 2008-09,,2008-12-01T00:00:00.000,171561
375,Nitrogen dioxide (NO2),Mean,UHF34,306308,35.9,Chelsea-Village,ppb,Winter 2013-14,,2013-12-01T00:00:00.000,211580
375,Nitrogen dioxide (NO2),Mean,UHF34,306308,25.2,Chelsea-Village,ppb,Annual Average 2019,,2019-01-01T00:00:00.000,643528
375,Nitrogen dioxide (NO2),Mean,UHF34,306308,31.1,Chelsea-Village,ppb,Winter 2017-18,,2017-12-01T00:00:00.000,602914
375,Nitrogen dioxide (NO2),Mean,UHF34,305307,42.8,Upper East Side-Gramercy,ppb,Winter 2008-09,,2008-12-01T00:00:00.000,171586
375,Nitrogen dioxide (NO2),Mean,UHF34,305307,36.2,Upper East Side-Gramercy,ppb,Winter 2013-14,,2013-12-01T00:00:00.000,211579
375,Nitrogen dioxide (NO2),Mean,UHF34,306308,42.7,Chelsea-Village,ppb,Winter 2008-09,,2008-12-01T00:00:00.000,171587
375,Nitrogen dioxide (NO2),Mean,UHF42,504,20.6,South Beach - Tottenville,ppb,Winter 2013-14,,2013-12-01T00:00:00.000,212331
375,Nitrogen dioxide (NO2),Mean,UHF42,404,25.1,Bayside - Little Neck,ppb,Winter 2013-14,,2013-12-01T00:00:00.000,212321
